route_id,from_city,to_city,date,provider,train_name,train_type,departure_station,arrival_station,departure_time,arrival_time,duration,journey_type,connection_city,connection_wait,available_seats,total_seats,base_price,senior_price,youth_price,child_price,currency,class_options,wifi,power_socket,meal_service,baggage_rule,refund_rule,change_policy,pet_policy,platform_info,boarding_requirement,carbon_kg,delay_minutes,status
ER0155,Paris,Nice,2026-05-17,SNCF,TER 8992,Regional,Paris Montparnasse,Nice-Ville,10:40,15:03,4h 23m,Direct,None,None,173,420,70,51,54,35,EUR,Second Class;First Class,Yes,No,Cafe bar,2 bags allowed,Non-refundable,Change with fee,Guide dogs only,Announced 30 min before,Arrive 15 min early,38,0,Available
ER0156,Barcelona,Lyon,2026-05-13,SNCF,OUIGO 4738,Night Train,Barcelona Sants,Lyon Perrache,15:05,17:19,2h 14m,Direct,None,None,36,250,74,63,57,40,EUR,Second Class;First Class,Limited,Limited,Yes,1 cabin bag included,Refundable with fee,Free change,Pets allowed,Announced 15 min before,Arrive 60 min early,9,0,Available
ER0157,Zurich,Vienna,2026-05-22,SBB,IR 6914,Intercity,Zurich HB,Wien Hbf,13:40,22:47,9h 07m,Direct,None,None,75,380,89,74,73,43,EUR,Economy;Business,No,No,Yes,1 cabin bag included,Refundable depending on fare,No change allowed,Pets allowed,Announced 15 min before,Arrive 20 min early,29,0,Available
ER0158,Geneva,Paris,2026-05-15,SNCF,Intercités 5872,International,Geneva Cornavin,Paris Gare de l'Est,16:30,00:26,7h 56m,Direct,None,None,143,634,137,115,121,68,EUR,Second Class;First Class,Yes,Yes,Business only,2 bags allowed,Refundable with fee,Flexible fare available,Pets allowed,Announced 20 min before,Arrive 20 min early,17,30,Available
ER0159,Amsterdam,Berlin,2026-05-10,DB,EC 8476,Intercity,Amsterdam Centraal,Berlin Hbf,06:35,11:02,4h 27m,Direct,None,None,169,380,92,69,80,43,EUR,Standard;First Class,Yes,No,Cafe bar,Large baggage chargeable,Refundable up to 24h,Flexible fare available,Pets allowed,Announced 30 min before,Arrive 60 min early,9,0,Available
ER0160,Paris,Brussels,2026-05-24,Eurostar,Eurostar 7215,International,Paris Montparnasse,Brussels Midi,12:55,15:37,2h 42m,Connection,Vienna,20m,101,380,67,51,57,32,EUR,Second Class;First Class,No,Yes,Cafe bar,Large baggage chargeable,Non-refundable,No change allowed,Small pets allowed,Announced 15 min before,Arrive 30 min early,9,10,Available
ER0161,Zurich,Milan,2026-05-19,SBB,IR 6640,Intercity,Zurich HB,Milano Centrale,17:40,22:47,5h 07m,Connection,Frankfurt,35m,144,420,130,107,101,74,EUR,Economy;Business,Yes,Limited,Snack service,1 cabin bag included,Refundable up to 24h,Free change,Pets not allowed,Announced 20 min before,Arrive 30 min early,26,10,Available
ER0162,Berlin,Prague,2026-05-15,DB+RegioJet,ICE 5829,Regional,Berlin Ostbahnhof,Praha hlavní nádraží,19:00,03:23,8h 23m,Direct,None,None,63,634,134,97,119,85,EUR,Standard;First Class,Yes,Yes,Business only,Large baggage chargeable,Refundable depending on fare,Free change,Guide dogs only,Announced 15 min before,Arrive 20 min early,17,20,Available
ER0163,Vienna,Munich,2026-05-18,ÖBB,Nightjet 2415,Regional,Wien Hbf,München Hbf,21:00,00:35,3h 35m,Direct,None,None,178,380,98,71,83,44,EUR,Standard;Comfort,Yes,Yes,Business only,Large baggage chargeable,Refundable with fee,No change allowed,Pets allowed,Announced 20 min before,Arrive 60 min early,38,0,Available
ER0164,Paris,Berlin,2026-05-12,Eurostar+DB,Eurostar 4153,High-Speed,Paris Gare de l'Est,Berlin Ostbahnhof,20:30,03:10,6h 40m,Direct,None,None,174,634,151,115,114,75,EUR,Standard;Comfort,Yes,Yes,Business only,Large baggage chargeable,Refundable with fee,Free change,Pets not allowed,Announced 30 min before,Arrive 20 min early,30,0,Available
ER0165,Frankfurt,Paris,2026-05-19,DB+Eurostar,IC 8983,Intercity,Frankfurt Hbf,Paris Gare du Nord,09:45,15:47,6h 02m,Direct,None,None,0,300,182,151,150,86,EUR,Economy;Business,Yes,Yes,No,2 bags allowed,Refundable with fee,Flexible fare available,Small pets allowed,Announced 30 min before,Arrive 15 min early,24,0,Cancelled
ER0166,Milan,Zurich,2026-05-16,SBB,EuroCity 4585,International,Milano Centrale,Zurich HB,08:10,11:09,2h 59m,Direct,None,None,175,500,88,71,69,40,EUR,Economy;Business,No,No,Business only,2 bags + 1 cabin bag,Refundable depending on fare,No change allowed,Pets not allowed,Announced 15 min before,Arrive 20 min early,16,0,Available
ER0167,Berlin,Hamburg,2026-05-10,DB,ICE 4521,International,Berlin Ostbahnhof,Hamburg Hbf,11:15,13:13,1h 58m,Direct,None,None,0,420,154,127,135,96,EUR,Second Class;First Class,Yes,No,Business only,Large baggage chargeable,Refundable up to 24h,Free change,Pets not allowed,Announced 20 min before,Arrive 15 min early,19,0,Cancelled
ER0168,Vienna,Prague,2026-05-18,ÖBB,Nightjet 8556,Intercity,Wien Hbf,Praha hlavní nádraží,14:35,19:23,4h 48m,Connection,Madrid,75m,33,300,65,51,55,30,EUR,Economy;Business,Limited,No,Business only,Large baggage chargeable,Refundable up to 24h,Change with fee,Pets not allowed,Announced 30 min before,Arrive 20 min early,33,0,Available
ER0169,Paris,Berlin,2026-05-14,SNCF+DB,TGV INOUI 1970,Intercity,Paris Montparnasse,Berlin Ostbahnhof,07:40,15:18,7h 38m,Connection,Cologne,35m,31,420,160,123,140,99,EUR,Economy;Business,Yes,No,Business only,1 cabin bag included,Refundable depending on fare,Flexible fare available,Small pets allowed,Announced 15 min before,Arrive 20 min early,16,0,Available
ER0170,Paris,Lyon,2026-05-19,SNCF,TGV INOUI 7614,Night Train,Paris Montparnasse,Lyon Perrache,05:45,07:40,1h 55m,Direct,None,None,229,634,142,104,119,70,EUR,Economy;Business,Yes,Yes,Cafe bar,2 bags allowed,Non-refundable,Free change,Small pets allowed,Announced 15 min before,Arrive 30 min early,25,0,Available
ER0171,Paris,Berlin,2026-05-10,SNCF+DB,TER 9847,Regional,Paris Gare du Nord,Berlin Ostbahnhof,16:00,01:16,9h 16m,Direct,None,None,3,380,221,178,175,105,EUR,Standard;Comfort,No,No,No,2 bags + 1 cabin bag,Refundable with fee,Free change,Pets allowed,Announced 30 min before,Arrive 15 min early,34,10,Limited
ER0172,Munich,Vienna,2026-05-24,ÖBB,Nightjet 5285,High-Speed,München Hbf,Wien Hbf,09:45,15:58,6h 13m,Direct,None,None,272,634,161,131,137,103,EUR,Second Class;First Class,Yes,Yes,No,Large baggage chargeable,Refundable depending on fare,Free change,Guide dogs only,Announced 20 min before,Arrive 20 min early,4,0,Available
ER0173,Berlin,Prague,2026-05-21,DB+RegioJet,IC 8401,International,Berlin Ostbahnhof,Praha hlavní nádraží,08:50,13:05,4h 15m,Direct,None,None,34,634,73,54,63,46,EUR,Standard;First Class,Yes,No,Cafe bar,Large baggage chargeable,Non-refundable,No change allowed,Pets not allowed,Announced 30 min before,Arrive 15 min early,37,0,Available
ER0174,Amsterdam,Brussels,2026-05-19,Eurostar,Eurostar 3512,Regional,Amsterdam Centraal,Brussels Midi,07:10,08:38,1h 28m,Direct,None,None,62,420,128,95,98,77,EUR,Standard;First Class,Yes,No,Yes,Large baggage chargeable,Refundable with fee,Flexible fare available,Pets not allowed,Announced 20 min before,Arrive 20 min early,37,0,Available
ER0175,Amsterdam,Brussels,2026-05-12,Eurostar,Eurostar 712,High-Speed,Amsterdam Centraal,Brussels Midi,19:40,22:47,3h 07m,Direct,None,None,107,500,152,127,125,91,EUR,Economy;Business,Yes,Yes,Snack service,Large baggage chargeable,Refundable up to 24h,Free change,Guide dogs only,Announced 15 min before,Arrive 15 min early,25,0,Available
ER0176,Zurich,Vienna,2026-05-24,SBB+ÖBB,IR 5214,Intercity,Zurich HB,Wien Hbf,11:15,18:25,7h 10m,Direct,None,None,89,420,107,81,80,61,EUR,Standard;Comfort,No,Limited,Business only,2 bags + 1 cabin bag,Non-refundable,Change with fee,Small pets allowed,Announced 15 min before,Arrive 30 min early,25,0,Available
ER0177,Vienna,Munich,2026-05-17,ÖBB,Railjet 575,Night Train,Wien Hbf,München Hbf,08:30,10:22,1h 52m,Direct,None,None,172,420,143,117,113,87,EUR,Standard;First Class,Limited,Yes,Yes,Large baggage chargeable,Refundable up to 24h,No change allowed,Guide dogs only,Announced 30 min before,Arrive 60 min early,34,10,Available
ER0178,Berlin,Hamburg,2026-05-13,DB,EC 4327,Regional,Berlin Ostbahnhof,Hamburg Hbf,10:55,18:00,7h 05m,Direct,None,None,27,380,105,77,86,65,EUR,Economy;Business,No,Yes,Snack service,2 bags allowed,Non-refundable,Free change,Guide dogs only,Announced 30 min before,Arrive 60 min early,29,0,Available
ER0179,Prague,Vienna,2026-05-16,CD+ÖBB,EuroCity 6388,International,Praha hlavní nádraží,Wien Hbf,11:55,18:22,6h 27m,Direct,None,None,107,420,130,107,99,82,EUR,Standard;First Class,No,No,Business only,2 bags allowed,Refundable depending on fare,Change with fee,Guide dogs only,Announced 20 min before,Arrive 15 min early,10,5,Available
ER0180,Munich,Vienna,2026-05-22,ÖBB,Nightjet 8198,Regional,München Hbf,Wien Hbf,11:10,17:32,6h 22m,Connection,Paris,35m,292,634,157,128,128,77,EUR,Standard;Comfort,Limited,Limited,Yes,2 bags allowed,Refundable depending on fare,Change with fee,Guide dogs only,Announced 15 min before,Arrive 30 min early,7,20,Available
ER0181,Paris,Lyon,2026-05-21,SNCF,TGV INOUI 4723,International,Paris Gare de Lyon,Lyon Part-Dieu,18:55,21:10,2h 15m,Direct,None,None,215,634,140,113,118,76,EUR,Standard;Comfort,Limited,Yes,Business only,2 bags + 1 cabin bag,Refundable with fee,Free change,Pets allowed,Announced 30 min before,Arrive 15 min early,13,0,Available
ER0182,Geneva,Lyon,2026-05-20,SNCF,OUIGO 1487,Intercity,Geneva Cornavin,Lyon Perrache,19:55,02:29,6h 34m,Connection,Amsterdam,75m,229,500,198,153,154,113,EUR,Standard;Comfort,Limited,Limited,Yes,2 bags allowed,Refundable depending on fare,Flexible fare available,Pets allowed,Announced 30 min before,Arrive 60 min early,9,5,Available
ER0183,London,Brussels,2026-05-21,Eurostar,Eurostar 8569,Regional,London St Pancras,Brussels Midi,12:35,19:22,6h 47m,Connection,Marseille,45m,107,500,91,72,80,51,EUR,Standard;Comfort,Yes,Yes,Yes,1 cabin bag included,Non-refundable,Free change,Pets not allowed,Announced 30 min before,Arrive 20 min early,7,0,Available
ER0184,Frankfurt,Vienna,2026-05-22,DB,IC 8042,International,Frankfurt Hbf,Wien Hbf,21:05,05:45,8h 40m,Connection,Madrid,35m,239,500,124,103,104,78,EUR,Standard;Comfort,Yes,Limited,Cafe bar,Large baggage chargeable,Refundable with fee,Free change,Guide dogs only,Announced 15 min before,Arrive 20 min early,13,10,Available
ER0185,Geneva,Lyon,2026-05-22,SNCF,Intercités 3998,International,Geneva Cornavin,Lyon Part-Dieu,11:45,19:25,7h 40m,Connection,Marseille,45m,79,250,191,146,164,114,EUR,Second Class;First Class,Limited,Limited,Cafe bar,Large baggage chargeable,Refundable up to 24h,Flexible fare available,Pets not allowed,Announced 20 min before,Arrive 30 min early,37,0,Available
ER0186,Paris,Nice,2026-05-11,SNCF,Intercités 4566,Intercity,Paris Gare de l'Est,Nice-Ville,13:05,16:40,3h 35m,Direct,None,None,192,420,90,75,75,44,EUR,Standard;Comfort,No,Yes,Yes,2 bags allowed,Refundable up to 24h,No change allowed,Pets allowed,Announced 30 min before,Arrive 15 min early,32,0,Available
ER0187,Madrid,Barcelona,2026-05-13,Renfe,Avlo 3263,Intercity,Madrid Atocha,Barcelona Sants,07:00,09:49,2h 49m,Connection,Amsterdam,30m,3,634,62,48,53,35,EUR,Standard;First Class,Yes,Limited,Business only,Large baggage chargeable,Refundable up to 24h,No change allowed,Guide dogs only,Announced 20 min before,Arrive 30 min early,20,15,Limited
ER0188,London,Amsterdam,2026-05-22,Eurostar,Eurostar 1122,Night Train,London St Pancras,Amsterdam Centraal,15:00,22:07,7h 07m,Direct,None,None,45,250,170,139,130,94,EUR,Standard;First Class,Limited,Limited,Yes,2 bags allowed,Refundable up to 24h,Free change,Guide dogs only,Announced 20 min before,Arrive 15 min early,35,0,Available
ER0189,London,Brussels,2026-05-20,Eurostar,Eurostar 6497,Intercity,London St Pancras,Brussels Midi,15:30,21:49,6h 19m,Direct,None,None,16,634,208,163,178,127,EUR,Standard;First Class,Limited,No,Yes,1 cabin bag included,Non-refundable,Flexible fare available,Pets not allowed,Announced 15 min before,Arrive 15 min early,27,0,Limited
ER0190,Vienna,Munich,2026-05-23,ÖBB,Railjet 7630,High-Speed,Wien Hbf,München Hbf,10:40,12:25,1h 45m,Connection,Brussels,45m,74,634,120,95,105,64,EUR,Economy;Business,Yes,Yes,Snack service,Large baggage chargeable,Refundable up to 24h,Flexible fare available,Pets not allowed,Announced 30 min before,Arrive 60 min early,5,0,Available
ER0191,Paris,Nice,2026-05-15,SNCF,TER 801,High-Speed,Paris Montparnasse,Nice-Ville,11:50,18:56,7h 06m,Direct,None,None,18,634,144,117,127,65,EUR,Second Class;First Class,No,Yes,Cafe bar,2 bags + 1 cabin bag,Refundable up to 24h,Change with fee,Pets allowed,Announced 20 min before,Arrive 15 min early,33,0,Limited
ER0192,Munich,Zurich,2026-05-12,DB,ICE 1970,Intercity,München Hbf,Zurich HB,07:15,12:18,5h 03m,Direct,None,None,186,634,59,51,49,28,EUR,Standard;First Class,No,Yes,Business only,2 bags allowed,Refundable up to 24h,Flexible fare available,Small pets allowed,Announced 20 min before,Arrive 20 min early,27,15,Available
ER0193,Vienna,Zurich,2026-05-12,ÖBB,Railjet 1737,Intercity,Wien Hbf,Zurich HB,05:35,07:41,2h 06m,Direct,None,None,19,300,101,79,87,61,EUR,Economy;Business,Yes,No,Snack service,2 bags + 1 cabin bag,Refundable with fee,Free change,Small pets allowed,Announced 30 min before,Arrive 60 min early,9,10,Limited
ER0194,Amsterdam,Brussels,2026-05-15,Eurostar,Eurostar 9237,International,Amsterdam Centraal,Brussels Midi,08:40,11:24,2h 44m,Direct,None,None,138,500,82,62,63,49,EUR,Second Class;First Class,Yes,Yes,Yes,2 bags allowed,Non-refundable,Flexible fare available,Small pets allowed,Announced 20 min before,Arrive 30 min early,25,10,Available
ER0195,Munich,Zurich,2026-05-22,ÖBB,Railjet 1810,High-Speed,München Hbf,Zurich HB,10:00,15:33,5h 33m,Direct,None,None,15,250,112,88,96,70,EUR,Standard;Comfort,Yes,Yes,Cafe bar,Large baggage chargeable,Refundable with fee,No change allowed,Small pets allowed,Announced 15 min before,Arrive 60 min early,35,0,Limited
ER0196,Paris,Brussels,2026-05-24,Eurostar,Eurostar 3641,High-Speed,Paris Montparnasse,Brussels Midi,17:25,19:48,2h 23m,Direct,None,None,158,634,80,61,60,45,EUR,Second Class;First Class,Limited,No,Cafe bar,1 cabin bag included,Refundable with fee,Flexible fare available,Small pets allowed,Announced 30 min before,Arrive 20 min early,18,0,Available
ER0197,Paris,Berlin,2026-05-16,Eurostar,Eurostar 9792,International,Paris Montparnasse,Berlin Ostbahnhof,13:00,20:49,7h 49m,Connection,Madrid,40m,76,380,155,125,116,100,EUR,Standard;First Class,Limited,No,Snack service,2 bags allowed,Refundable depending on fare,No change allowed,Small pets allowed,Announced 15 min before,Arrive 15 min early,30,0,Available
ER0198,Berlin,Munich,2026-05-12,DB,IC 4016,International,Berlin Hbf,München Hbf,20:50,00:51,4h 01m,Direct,None,None,0,420,35,30,28,16,EUR,Economy;Business,Yes,No,Yes,2 bags allowed,Refundable depending on fare,Flexible fare available,Pets allowed,Announced 20 min before,Arrive 60 min early,21,0,Cancelled
ER0199,Munich,Zurich,2026-05-18,DB,EC 1426,Intercity,München Hbf,Zurich HB,21:50,02:21,4h 31m,Connection,Berlin,60m,30,380,122,94,103,72,EUR,Economy;Business,Yes,Yes,No,2 bags allowed,Refundable depending on fare,Change with fee,Small pets allowed,Announced 20 min before,Arrive 30 min early,21,5,Available
ER0200,Geneva,Paris,2026-05-20,SNCF,TER 992,High-Speed,Geneva Cornavin,Paris Gare de l'Est,16:35,22:08,5h 33m,Direct,None,None,88,250,103,81,82,60,EUR,Economy;Business,Limited,Yes,Yes,Large baggage chargeable,Refundable with fee,Flexible fare available,Pets allowed,Announced 15 min before,Arrive 20 min early,21,10,Available
